startDateTime,site_no,tz_cd,NH4_mgL_remark_cd,NH4_mgL,NH4_mgL_dqi_cd,NH4_mgL_rpt_level_va,NH4_mgL_rpt_lev_cd,NO2_mgL_remark_cd,NO2_mgL,NO2_mgL_dqi_cd,NO2_mgL_rpt_lev_va,NO2_mgL_rpt_lev_cd,NO3_NO2_mgL_remark_cd,NO3_NO2_mgL,NO3_NO2_mgL_dqi_cd,NO3_NO2_mgL_rpt_lev_va,NO3_NO2_mgL_rpt_lev_cd,Ortho_PO4_mgL_remark_cd,Ortho_PO4_mgL,Ortho_PO4_mgL_dqi_cd,Ortho_PO4_mgL_rpt_lev_va,Ortho_PO4_mgL_rpt_lev_cd,TDN_mgL_remark_cd,TDN_mgL,TDN_mgL_dqi_cd,TDN_mgL_rpt_lev_va,TDN_mgL_rpt_lev_cd,Chla_ugL_remark_cd,Chla_ugL,Chla_ugL_dqi_cd,Chla_ugL_rpt_lev_va,Chla_ugL_rpt_lev_cd,Phaeo_ugL_remark_cd,Phaeo_ugL,Phaeo_ugL_dqi_cd,Phaeo_ugL_rpt_lev_va,Phaeo_ugL_rpt_lev_cd,DOC_mgL_remark_cd,DOC_mgL,DOC_mgL_dqi_cd,DOC_mgL_rpt_lev_va,DOC_mgL_rpt_lev_cd,A254_remark_cd,A254,A254_dqi_cd,A254_rpt_lev_va,A254_rpt_lev_cd,SUVA_remark_cd,SUVA,SUVA_dqi_cd,SUVA_rpt_lev_va,SUVA_rpt_lev_cd
2010-10-25T19:10:00Z,11303500,UTC,NA,0.37,R,0.01,LT-MDL,NA,0.01,R,0.001,LT-MDL,NA,1.51,R,0.02,LT-MDL,NA,0.11,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-10-25T19:15:00Z,11303500,UTC,NA,0.17,R,0.01,LT-MDL,NA,0.01,R,0.001,LT-MDL,NA,1.51,R,0.02,LT-MDL,NA,0.11,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,R,0.15,LT-MDL,NA,0.09,R,0.005,LT-MDL,NA,2.9,R,NA,NA
2010-11-08T19:50:00Z,11303500,UTC,NA,0.01,R,0.01,LT-MDL,NA,0.01,R,0.001,LT-MDL,NA,1.7,R,0.02,LT-MDL,NA,0.13,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-14T19:40:00Z,11303500,UTC,<,0.01,R,0.01,LT-MDL,NA,0.004,R,0.001,LT-MDL,NA,0.63,R,0.02,LT-MDL,NA,0.08,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-14T19:45:00Z,11303500,UTC,<,0.01,R,0.01,LT-MDL,NA,0.004,R,0.001,LT-MDL,NA,0.63,R,0.02,LT-MDL,NA,0.05,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41,R,0.15,LT-MDL,NA,0.07,R,0.005,LT-MDL,NA,2.9,R,NA,NA
2010-12-29T19:30:00Z,11303500,UTC,NA,0.01,R,0.01,LT-MDL,NA,0.007,R,0.001,LT-MDL,NA,0.31,R,0.02,LT-MDL,NA,0.06,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-29T19:35:00Z,11303500,UTC,NA,0.01,R,0.01,LT-MDL,NA,0.006,R,0.001,LT-MDL,NA,0.31,R,0.02,LT-MDL,NA,0.06,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52,R,0.15,LT-MDL,NA,0.17,R,0.005,LT-MDL,NA,3.8,R,NA,NA
2011-01-13T19:20:00Z,11303500,UTC,NA,0.04,R,0.01,LT-MDL,NA,0.008,R,0.001,LT-MDL,NA,0.54,R,0.02,LT-MDL,NA,0.07,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-13T19:25:00Z,11303500,UTC,NA,0.04,R,0.01,LT-MDL,NA,0.008,R,0.001,LT-MDL,NA,0.54,R,0.02,LT-MDL,NA,0.07,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.91,R,0.15,LT-MDL,NA,0.22,R,0.005,LT-MDL,NA,4.5,R,NA,NA
2011-01-25T19:30:00Z,11303500,UTC,NA,0.02,R,0.01,LT-MDL,NA,0.005,R,0.001,LT-MDL,NA,0.39,R,0.02,LT-MDL,NA,0.06,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-25T19:35:00Z,11303500,UTC,NA,0.02,R,0.01,LT-MDL,NA,0.005,R,0.001,LT-MDL,NA,0.39,R,0.02,LT-MDL,NA,0.06,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67,R,0.15,LT-MDL,NA,0.14,R,0.005,LT-MDL,NA,3.8,R,NA,NA
2011-02-09T19:20:00Z,11303500,UTC,<,0.01,R,0.01,LT-MDL,NA,0.003,R,0.001,LT-MDL,NA,0.37,R,0.02,LT-MDL,NA,0.03,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-09T19:25:00Z,11303500,UTC,<,0.01,R,0.01,LT-MDL,NA,0.003,R,0.001,LT-MDL,NA,0.37,R,0.02,LT-MDL,NA,0.03,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63,R,0.15,LT-MDL,NA,0.08,R,0.005,LT-MDL,NA,3,R,NA,NA
2011-02-28T19:50:00Z,11303500,UTC,NA,0.07,R,0.01,LT-MDL,NA,0.01,R,0.001,LT-MDL,NA,0.55,R,0.02,LT-MDL,NA,0.06,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-28T19:55:00Z,11303500,UTC,NA,0.07,R,0.01,LT-MDL,NA,0.009,R,0.001,LT-MDL,NA,0.55,R,0.02,LT-MDL,NA,0.06,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.54,R,0.15,LT-MDL,NA,0.15,R,0.005,LT-MDL,NA,4.2,R,NA,NA
2011-03-16T17:30:00Z,11303500,UTC,NA,0.09,R,0.01,LT-MDL,NA,0.01,R,0.001,LT-MDL,NA,0.58,R,0.02,LT-MDL,NA,0.08,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-16T17:35:00Z,11303500,UTC,NA,0.09,R,0.01,LT-MDL,NA,0.01,R,0.001,LT-MDL,NA,0.58,R,0.02,LT-MDL,NA,0.08,R,0.004,LT-MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.09,R,0.15,LT-MDL,NA,0.1,R,0.005,LT-MDL,NA,3.2,R,NA,NA
