organization_formal_name,monitoring_location_identifier,activity_start_date,activity_start_time_time,activity_start_time_time_zone_code,characteristic_name,result_measure_value,result_measure_measure_unit_code,result_status_identifier,result_analytical_method_method_name,detection_quantitation_limit_type_name,detection_quantitation_limit_measure_measure_value,detection_quantitation_limit_measure_measure_unit_code
USGS California Water Science Center,USGS-11303500,2013-10-18,15:02:00,PDT,Suspended Sediment Concentration (SSC),17,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2016-06-09,11:00:00,PDT,Nitrite,0.001,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11447905,2013-09-25,14:15:00,PDT,Suspended Sediment Concentration (SSC),5,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2010-10-26,12:45:00,PDT,Ammonia and ammonium,0.01,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",Long Term Method Detection Level,0.01,mg/l as N
USGS California Water Science Center,USGS-11447650,2012-10-25,11:57:00,PDT,Suspended Sediment Concentration (SSC),14,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2013-08-02,11:42:00,PDT,Suspended Sediment Concentration (SSC),29,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2011-05-12,11:05:00,PDT,UV 254,2.5,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11447650,2016-06-09,11:00:00,PDT,Inorganic nitrogen (nitrate and nitrite),0.04,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2011-04-19,12:25:00,PDT,Ammonia and ammonium,0.02,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",Long Term Method Detection Level,0.01,mg/l as N
USGS California Water Science Center,USGS-11303500,2015-04-14,15:33:00,PDT,Suspended Sediment Concentration (SSC),41,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-04-10,14:20:00,PDT,Suspended Sediment Concentration (SSC),130,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-08-04,07:30:00,PDT,Suspended Sediment Concentration (SSC),66,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2015-05-19,10:30:00,PDT,Ammonia and ammonium,0.02,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2011-04-19,12:25:00,PDT,Nitrite,0.006,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",Long Term Method Detection Level,0.001,mg/l as N
USGS California Water Science Center,USGS-11447650,2016-07-19,09:54:00,PDT,Suspended Sediment Concentration (SSC),31,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2011-03-15,10:35:00,PDT,Suspended Sediment Concentration (SSC),46,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-07-17,18:00:00,PDT,Suspended Sediment Concentration (SSC),40,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2011-05-12,11:05:00,PDT,Suspended Sediment Concentration (SSC),27,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2017-04-05,08:40:00,PDT,Suspended Sediment Concentration (SSC),69,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2013-06-13,11:28:00,PDT,Organic carbon,1.7,mg/l,Accepted,"DOC, CO2 formation & detection",Laboratory Reporting Level,0.3,mg/l
USGS California Water Science Center,USGS-11303500,2010-10-25,12:15:00,PDT,Orthophosphate,0.11,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",Long Term Method Detection Level,0.004,mg/l as P
USGS California Water Science Center,USGS-11303500,2014-08-26,13:23:00,PDT,Suspended Sediment Concentration (SSC),20,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2011-10-13,14:06:00,PDT,Suspended Sediment Concentration (SSC),66,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2012-08-08,11:55:00,PDT,Organic carbon,2.62,mg/l,Accepted,"DOC, 0.7um GFF,acid,persulfateIR",Long Term Method Detection Level,0.23,mg/l
USGS California Water Science Center,USGS-11303500,2012-05-15,13:44:00,PDT,Suspended Sediment Concentration (SSC),64,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-07-21,16:40:00,PDT,Suspended Sediment Concentration (SSC),44,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2011-04-20,11:15:00,PDT,Suspended Sediment Concentration (SSC),41,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2011-07-25,12:45:00,PDT,Suspended Sediment Concentration (SSC),51,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2013-04-23,12:40:00,PDT,Inorganic nitrogen (nitrate and nitrite),0.59,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",Long Term Method Detection Level,0.04,mg/l as N
USGS California Water Science Center,USGS-11303500,2014-10-15,09:40:00,PDT,Orthophosphate,0.05,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2018-06-14,09:30:00,PDT,Chlorophyll a,3.2,ug/l,Accepted,"Plant pigments, sonication & 445",Lower Reporting Limit,0.1,ug/l
